tot_labor_force,uneploy_num,city,unemploy_rate
49242,3452,Ballarat,7
62344,3429,Banyule,5.5
22570,1245,Baw Baw,5.5
48208,2215,Bayside,4.6
44540,2947,Greater Bendigo,6.6
87097,4837,Boroondara,5.6
85137,9045,Brimbank,10.6
16844,822,Campaspe,4.9
47635,2598,Cardinia,5.5
148574,10662,Casey,7.17622195
17418,691,Colac Otway,4
84234,8060,Dandenong,9.6
75736,5429,Darebin,7.168321538
67771,4365,Frankston,6.4
90187,5996,Greater Geelong,6.6
18213,1161,East Gippsland,6.4
77998,4558,Glen Eira,5.8
16457,862,Glenelg,5.2
26742,1324,Grampians,5
42572,2681,Hobsons Bay,6.3
61313,3079,Kingston,5
81945,4581,Knox,5.6
32563,3152,Latrobe,9.7
4856,241,Loddon,5
14942,651,Macedon Ranges,4.4
56336,3447,Manningham,6.118645271
45408,3760,Maribyrnong,8.3
57728,3014,Maroondah,5.2
9950,765,Pyrenees,7.7
73158,8006,Melbourne,10.9
73584,5487,Melton,7.5
24285,1784,Mildura,7.3
12435,629,Moira,5.1
83248,6675,Monash,8
35394,2735,Moreland,7.7
70985,3487,Mornington Peninsula,4.9
60786,3075,Port Phillip,5.1
28728,1852,Shepparton,6.4
59642,3114,Stonnington,5.221152879
33251,1555,Surf Coast,4.7
21091,1021,Wangaratta,4.8
21091,1021,Benalla,4.8
24446,1159,Warrnambool,4.7
19093,1195,Wellington,6.3
184283,12952,Whittlesea,7.028320572
34102,1762,Wodonga,5.2
109571,9076,Wyndham,8.3
54062,2838,Yarra,5.2
77585,3554,Yarra Ranges,4.6
